DEBUG 2023-11-25 14:22:04,338 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py first seen with mtime 1692889090.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/kombu/clocks.py first seen with mtime 1696385028.978295 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/core/servers/basehttp.py first seen with mtime 1696143530.9796746 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_struct.cpython-311-darwin.so first seen with mtime 1692889412.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1696143530.966748 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/admin/models.py first seen with mtime 1696143530.6144092 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_zoneinfo.cpython-311-darwin.so first seen with mtime 1692889413.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/template/loaders/app_directories.py first seen with mtime 1696143531.006965 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/cffi/error.py first seen with mtime 1696145999.5841737 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/models/sql/__init__.py first seen with mtime 1696143530.9920852 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/core/files/uploadhandler.py first seen with mtime 1696143530.9725847 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/template/response.py first seen with mtime 1696143531.006122 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/urllib3/util/connection.py first seen with mtime 1696145999.306676 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
